"","start_station_name","start_station_longitude","start_station_latitude","end_station_name","end_station_longitude","end_station_latitude","n"
"1","11th & San Jacinto",-97.73854,30.27193,"17th & Guadalupe",-97.74254,30.27974,22
"2","11th & San Jacinto",-97.73854,30.27193,"2nd & Congress",-97.74355,30.26408,42
"3","11th & San Jacinto",-97.73854,30.27193,"3rd & West",-97.75189,30.2678,23
"4","11th & San Jacinto",-97.73854,30.27193,"4th & Congress",-97.74378,30.26634,79
"5","11th & San Jacinto",-97.73854,30.27193,"5th & Bowie",-97.75332,30.2696,27
"6","11th & San Jacinto",-97.73854,30.27193,"5th & San Marcos",-97.73289,30.26416,22
"7","11th & San Jacinto",-97.73854,30.27193,"8th & Congress",-97.74186,30.2698,86
"8","11th & San Jacinto",-97.73854,30.27193,"ACC - Rio Grande & 12th",-97.74739,30.27595,9
"9","11th & San Jacinto",-97.73854,30.27193,"ACC - West & 12th Street",-97.74831,30.27624,25
"10","11th & San Jacinto",-97.73854,30.27193,"Barton Springs & Riverside",-97.74872,30.2587,19
"11","11th & San Jacinto",-97.73854,30.27193,"Barton Springs @ Kinney Ave",-97.76118,30.262,13
"12","11th & San Jacinto",-97.73854,30.27193,"Barton Springs Pool",-97.7712,30.26452,7
"13","11th & San Jacinto",-97.73854,30.27193,"Brazos & 6th",-97.74154,30.26754,81
"14","11th & San Jacinto",-97.73854,30.27193,"Bullock Museum @ Congress & MLK",-97.73809,30.28039,45
"15","11th & San Jacinto",-97.73854,30.27193,"Capital Metro HQ - East 5th at Broadway",-97.71007,30.2563,27
"16","11th & San Jacinto",-97.73854,30.27193,"Capitol Station / Congress & 11th",-97.74127,30.2726,111
"17","11th & San Jacinto",-97.73854,30.27193,"City Hall / Lavaca & 2nd",-97.74678,30.26476,61
"18","11th & San Jacinto",-97.73854,30.27193,"Convention Center / 3rd & Trinity",-97.74023,30.26426,50
"19","11th & San Jacinto",-97.73854,30.27193,"Convention Center / 4th St. @ MetroRail",-97.739,30.26483,101
"20","11th & San Jacinto",-97.73854,30.27193,"Davis at Rainey Street",-97.73845,30.26019,120
"21","11th & San Jacinto",-97.73854,30.27193,"East 11th St. & San Marcos",-97.73074,30.26968,118
"22","11th & San Jacinto",-97.73854,30.27193,"East 11th St. at Victory Grill",-97.72843,30.26896,51
